WARNING 2020-06-28 09:31:20,992 basehttp 157 "GET /js/jquery-1.12.4.min.js HTTP/1.1" 404 2171
WARNING 2020-06-28 09:31:21,012 log 228 Not Found: /js/axios-0.18.0.min.js
WARNING 2020-06-28 09:31:21,012 basehttp 157 "GET /js/axios-0.18.0.min.js HTTP/1.1" 404 2168
WARNING 2020-06-28 09:31:21,013 log 228 Not Found: /js/host.js
WARNING 2020-06-28 09:31:21,014 basehttp 157 "GET /js/host.js HTTP/1.1" 404 2132
WARNING 2020-06-28 09:31:21,039 log 228 Not Found: /js/jquery-1.12.4.min.js
WARNING 2020-06-28 09:31:21,039 basehttp 157 "GET /js/jquery-1.12.4.min.js HTTP/1.1" 404 2171
WARNING 2020-06-28 09:31:21,041 log 228 Not Found: /js/index.js
WARNING 2020-06-28 09:31:21,042 basehttp 157 "GET /js/index.js HTTP/1.1" 404 2135
WARNING 2020-06-28 09:31:21,062 log 228 Not Found: /js/jquery.pagination.min.js
WARNING 2020-06-28 09:31:21,062 basehttp 157 "GET /js/jquery.pagination.min.js HTTP/1.1" 404 2183
WARNING 2020-06-28 09:31:21,066 log 228 Not Found: /js/host.js
WARNING 2020-06-28 09:31:21,066 basehttp 157 "GET /js/host.js HTTP/1.1" 404 2132
WARNING 2020-06-28 09:31:21,092 log 228 Not Found: /js/jquery.pagination.min.js
WARNING 2020-06-28 09:31:21,092 basehttp 157 "GET /js/jquery.pagination.min.js HTTP/1.1" 404 2183
